,xcenter,ycenter,width,height,confidence,class,name,frame
0,947.697021484375,233.71676635742188,27.3896484375,62.73069763183594,0.6420830488204956,0,person,1
0,947.94677734375,232.79306030273438,27.1805419921875,61.88185119628906,0.607573390007019,0,person,2
0,449.47906494140625,86.32109832763672,43.533294677734375,36.72169494628906,0.6067508459091187,2,car,12
0,445.4276123046875,92.54942321777344,42.50958251953125,42.946754455566406,0.6437551975250244,2,car,15
0,444.4385986328125,94.58152770996094,43.37066650390625,43.152000427246094,0.6846122145652771,2,car,16
0,947.0668334960938,230.13397216796875,22.29443359375,58.18705749511719,0.6680993437767029,0,person,17
1,443.95367431640625,96.12579345703125,42.488616943359375,41.832374572753906,0.6656733751296997,2,car,17
0,947.0985107421875,229.72683715820312,22.68426513671875,57.50099182128906,0.677884042263031,0,person,18
1,442.74603271484375,98.4677734375,42.410797119140625,42.16051483154297,0.6370947957038879,2,car,18
0,947.4287109375,227.58990478515625,21.4464111328125,56.354400634765625,0.7249552607536316,0,person,19
1,441.14654541015625,102.40739440917969,44.719879150390625,44.326271057128906,0.6137055158615112,2,car,19
0,947.7181396484375,227.29251098632812,21.38348388671875,56.05537414550781,0.7287306785583496,0,person,20
1,441.38665771484375,104.11167907714844,44.709808349609375,43.128334045410156,0.6435685753822327,2,car,20
0,947.5869140625,226.93341064453125,21.6654052734375,55.639556884765625,0.7075434923171997,0,person,21
1,441.991943359375,105.44654846191406,46.55157470703125,44.583656311035156,0.6202023029327393,2,car,21
0,947.0948486328125,226.71263122558594,22.01629638671875,54.5540771484375,0.6746361255645752,0,person,22
1,441.48388671875,107.54289245605469,46.02325439453125,42.77515411376953,0.6306774020195007,2,car,22
0,440.37860107421875,109.29316711425781,47.261138916015625,44.021827697753906,0.7084251046180725,2,car,23
1,946.6038818359375,226.22216796875,21.09600830078125,53.513153076171875,0.6694814562797546,0,person,23
0,438.74371337890625,113.12255859375,50.793121337890625,47.045616149902344,0.7070790529251099,2,car,24
0,437.7762451171875,115.71871185302734,52.39666748046875,47.33036804199219,0.7796939611434937,2,car,25
0,437.6448974609375,117.82550048828125,54.10333251953125,48.42474365234375,0.7616722583770752,2,car,26
0,436.81317138671875,119.5343017578125,53.596099853515625,47.95269775390625,0.7010501623153687,2,car,27
0,430.59686279296875,128.90895080566406,50.688079833984375,47.29717254638672,0.6100503206253052,2,car,31
0,429.52130126953125,133.45748901367188,53.701080322265625,48.81355285644531,0.6353591084480286,2,car,33
0,425.9419250488281,139.25634765625,50.802001953125,50.5579833984375,0.6583290696144104,2,car,34
0,417.09710693359375,163.79244995117188,55.851226806640625,51.32159423828125,0.709819495677948,2,car,42
0,416.72601318359375,172.93438720703125,58.479156494140625,55.32533264160156,0.6354691982269287,2,car,44
0,412.9879150390625,183.27670288085938,59.39434814453125,59.84846496582031,0.6558595895767212,2,car,47
0,399.59881591796875,237.20993041992188,70.79800415039062,70.98677062988281,0.6742956638336182,2,car,59
0,398.67864990234375,240.44671630859375,73.00375366210938,73.51606750488281,0.7680720686912537,2,car,60
0,396.14398193359375,245.8047637939453,67.64706420898438,70.54214477539062,0.617952823638916,2,car,61
0,394.19622802734375,251.399658203125,68.75503540039062,75.82783508300781,0.7214592099189758,2,car,62
0,392.8111572265625,256.0391845703125,69.94683837890625,75.81494140625,0.6268323659896851,2,car,63
0,936.9942626953125,207.2437744140625,23.35614013671875,50.224945068359375,0.6047929525375366,0,person,86
0,942.3734130859375,206.0347442626953,31.30010986328125,51.1689453125,0.6437746286392212,0,person,87
0,942.0079956054688,205.98989868164062,31.74951171875,50.77360534667969,0.6454768180847168,0,person,88
0,943.6051025390625,203.24346923828125,24.96600341796875,52.106719970703125,0.6850056648254395,0,person,100
1,933.7974853515625,202.04864501953125,19.87872314453125,52.44091796875,0.645108699798584,0,person,100
0,941.560302734375,202.9827423095703,26.59228515625,52.10595703125,0.6251070499420166,0,person,101
0,941.4769287109375,202.79832458496094,27.61456298828125,51.6741943359375,0.636225700378418,0,person,102
0,940.3858642578125,202.7518310546875,28.71014404296875,52.210845947265625,0.6265273094177246,0,person,104
0,940.6715087890625,202.54049682617188,29.12567138671875,51.76701354980469,0.6496464610099792,0,person,105
0,933.0787353515625,200.49185180664062,23.08807373046875,54.34330749511719,0.6311771869659424,0,person,109
0,932.6168212890625,200.23672485351562,23.29608154296875,54.00996398925781,0.683346152305603,0,person,110
0,932.4306640625,200.15237426757812,22.8331298828125,54.65653991699219,0.7242254018783569,0,person,111
0,932.3416748046875,199.34512329101562,22.59881591796875,55.01106262207031,0.7312235832214355,0,person,112
0,932.4890747070312,198.9893798828125,22.46875,54.030517578125,0.7085632085800171,0,person,113
0,932.60205078125,198.346923828125,24.24462890625,54.3095703125,0.7146735191345215,0,person,114
0,933.088623046875,197.938232421875,25.2679443359375,54.814422607421875,0.6716260313987732,0,person,115
0,933.2715454101562,198.2845001220703,25.5546875,54.7742919921875,0.6897550821304321,0,person,116
0,934.1146240234375,197.94454956054688,27.26885986328125,56.24751281738281,0.6837742328643799,0,person,117
0,932.0218505859375,197.79586791992188,25.05841064453125,54.48701477050781,0.7295294404029846,0,person,118
0,932.0533447265625,197.3224639892578,25.09881591796875,55.266357421875,0.7219651937484741,0,person,119
0,931.3270263671875,197.67562866210938,23.96405029296875,55.87519836425781,0.7199736833572388,0,person,120
0,931.1260375976562,198.09226989746094,24.75830078125,55.277587890625,0.6712638139724731,0,person,121
0,931.0111083984375,197.99212646484375,24.45916748046875,54.981781005859375,0.707240104675293,0,person,122
0,930.1492919921875,198.36483764648438,24.26641845703125,54.56025695800781,0.634889543056488,0,person,123
0,738.2435302734375,500.60198974609375,138.19940185546875,137.62045288085938,0.6943857669830322,2,car,128
1,929.8568725585938,196.8573455810547,26.91796875,53.7003173828125,0.6240487098693848,0,person,128
0,928.371826171875,194.7702178955078,20.64111328125,56.7274169921875,0.715022087097168,0,person,129
0,927.5736083984375,193.6434783935547,20.07794189453125,56.2354736328125,0.7214673757553101,0,person,130
1,730.477294921875,478.50640869140625,138.44189453125,127.51205444335938,0.7040126323699951,2,car,130
2,942.9976806640625,196.70736694335938,22.30926513671875,52.75236511230469,0.6357290744781494,0,person,130
0,927.0242309570312,193.82501220703125,19.939453125,56.14436340332031,0.7475735545158386,0,person,131
1,943.38916015625,196.3690948486328,21.9849853515625,53.7174072265625,0.6185184717178345,0,person,131
0,927.0177001953125,193.8421630859375,20.19549560546875,55.503143310546875,0.7620983123779297,0,person,132
1,943.1181030273438,196.34774780273438,21.43310546875,54.32084655761719,0.6194366216659546,0,person,132
0,927.0410766601562,192.796630859375,20.70068359375,55.673309326171875,0.741799533367157,0,person,133
1,715.4778442382812,439.56622314453125,119.9990234375,121.42910766601562,0.6609001159667969,2,car,133
2,940.7891845703125,196.10372924804688,21.93878173828125,52.64680480957031,0.6268765926361084,0,person,133
0,926.9830322265625,193.27767944335938,19.76385498046875,54.73847961425781,0.764811098575592,0,person,134
1,941.3939208984375,195.740234375,21.82843017578125,52.980743408203125,0.6688142418861389,0,person,134
