Frame,Pixel Sum
1.0,235008000.0
2.0,235008000.0
3.0,235007745.0
4.0,235007745.0
5.0,6817915.0
6.0,6536012.0
7.0,6010855.0
8.0,4839886.0
9.0,5103238.0
10.0,5005521.0
11.0,6021452.0
12.0,5609496.0
13.0,6693806.0
14.0,7509653.0
15.0,7405842.0
16.0,8786555.0
17.0,8827984.0
18.0,9225065.0
19.0,9341560.0
20.0,8877418.0
21.0,8621304.0
22.0,9181962.0
23.0,8895818.0
24.0,9389186.0
25.0,9236373.0
26.0,9611973.0
27.0,9331306.0
28.0,9484041.0
29.0,10959478.0
30.0,12776867.0
31.0,12877741.0
32.0,13280653.0
33.0,13618903.0
34.0,14240840.0
35.0,14477169.0
36.0,14843980.0
37.0,15280582.0
38.0,14867355.0
39.0,13068767.0
40.0,12426451.0
41.0,10065766.0
42.0,7925961.0
43.0,6717477.0
44.0,4970018.0
45.0,4448450.0
46.0,3850944.0
47.0,3768170.0
48.0,3146846.0
49.0,3109056.0
50.0,2949239.0
51.0,3034014.0
52.0,2897537.0
53.0,2764053.0
54.0,2428886.0
55.0,3001261.0
56.0,2746337.0
57.0,3183556.0
58.0,2985194.0
59.0,3177492.0
60.0,3126210.0
61.0,3944327.0
62.0,3757281.0
63.0,3668379.0
64.0,3650818.0
65.0,3875288.0
66.0,3996990.0
67.0,3370423.0
68.0,3066258.0
69.0,3299919.0
70.0,3179157.0
71.0,3183434.0
72.0,3277680.0
73.0,3326796.0
74.0,3484780.0
75.0,3628118.0
76.0,3415482.0
77.0,3570584.0
78.0,4229854.0
79.0,4316616.0
80.0,4325555.0
81.0,4472662.0
82.0,4750972.0
83.0,6183183.0
84.0,6142941.0
85.0,8347995.0
86.0,9151344.0
87.0,7860281.0
88.0,8653727.0
89.0,9280056.0
90.0,8144252.0
91.0,8137266.0
92.0,8627031.0
93.0,9071965.0
94.0,8669057.0
95.0,8317310.0
96.0,7413213.0
97.0,6797264.0
98.0,5724931.0
99.0,3110898.0
100.0,2759632.0
101.0,1921110.0
102.0,1043982.0
103.0,1134280.0
104.0,1540864.0
105.0,1486827.0
106.0,1467004.0
107.0,2326126.0
108.0,2283999.0
109.0,1559159.0
110.0,1946495.0
111.0,1613460.0
112.0,1631268.0
113.0,2115684.0
114.0,3273663.0
115.0,3887722.0
116.0,4567113.0
117.0,5220699.0
118.0,6559067.0
119.0,7214511.0
120.0,8015845.0
121.0,8401628.0
122.0,8213370.0
123.0,8200086.0
124.0,7870795.0
125.0,7276741.0
126.0,7345564.0
127.0,6888787.0
128.0,6812941.0
129.0,6163937.0
130.0,6432891.0
131.0,5857789.0
132.0,5592341.0
133.0,5032068.0
134.0,4691512.0
135.0,4694736.0
136.0,4562521.0
137.0,4303271.0
138.0,4081889.0
139.0,4452397.0
140.0,4809775.0
141.0,5101103.0
142.0,4858287.0
143.0,4125770.0
144.0,4515865.0
145.0,4439899.0
146.0,4925048.0
147.0,5419757.0
148.0,6234373.0
149.0,6999960.0
150.0,8087651.0
151.0,9566924.0
152.0,11071946.0
153.0,13968703.0
154.0,14468360.0
155.0,15100431.0
156.0,15621381.0
157.0,15920820.0
158.0,17455043.0
159.0,17125621.0
160.0,16682375.0
161.0,16084342.0
162.0,15200843.0
163.0,14130904.0
164.0,13074851.0
165.0,12734492.0
166.0,12339416.0
167.0,11855841.0
168.0,10938090.0
169.0,13226849.0
170.0,11171236.0
171.0,10722689.0
172.0,10991172.0
173.0,9203580.0
174.0,9405784.0
175.0,8989342.0
176.0,8436804.0
177.0,8575798.0
178.0,8474356.0
179.0,8523371.0
180.0,8988458.0
181.0,9717521.0
182.0,10589164.0
183.0,12594327.0
184.0,13487592.0
185.0,14249302.0
186.0,15240516.0
187.0,16083483.0
188.0,16888246.0
189.0,17355674.0
190.0,18148393.0
191.0,17933744.0
192.0,17689196.0
193.0,17226952.0
194.0,16859472.0
195.0,15919801.0
196.0,15024896.0
197.0,15186820.0
198.0,13578786.0
199.0,12455025.0
200.0,12025197.0
201.0,11704356.0
202.0,11189278.0
203.0,10494989.0
204.0,10180881.0
205.0,10119281.0
206.0,9841904.0
207.0,9650014.0
208.0,8887064.0
209.0,8613254.0
210.0,8466261.0
211.0,8162684.0
212.0,8015698.0
213.0,7911617.0
214.0,7572470.0
215.0,7861318.0
216.0,7604433.0
217.0,7384732.0
218.0,8103613.0
219.0,7925459.0
220.0,8462068.0
221.0,9789336.0
222.0,10224955.0
223.0,10315966.0
224.0,10988296.0
225.0,10798121.0
226.0,11260107.0
227.0,12710873.0
228.0,12978369.0
229.0,14259276.0
230.0,13730824.0
231.0,14210373.0
232.0,14594363.0
233.0,12855256.0
234.0,13251279.0
235.0,14531022.0
236.0,12900977.0
237.0,11027697.0
238.0,10084411.0
239.0,9769496.0
240.0,9463523.0
241.0,9357052.0
242.0,9520223.0
243.0,8977715.0
244.0,8888199.0
245.0,8207264.0
246.0,8053001.0
247.0,7739641.0
248.0,7595217.0
249.0,7588132.0
250.0,7675132.0
251.0,8197476.0
252.0,9550005.0
253.0,9919284.0
254.0,9897015.0
255.0,10416032.0
256.0,11581645.0
257.0,14477223.0
258.0,16276353.0
259.0,15819155.0
260.0,18602090.0
261.0,16809067.0
