,xcenter,ycenter,width,height,confidence,class,name,frame
0,232.5537109375,690.4501953125,72.75238037109375,172.37957763671875,0.8641689419746399,0,person,1
1,723.7223510742188,718.4440307617188,139.5816650390625,93.203857421875,0.8333019018173218,1,bicycle,1
2,488.495849609375,720.9423828125,125.7418212890625,107.492919921875,0.8226854205131531,1,bicycle,1
3,287.69091796875,696.981201171875,75.5975341796875,165.87298583984375,0.8197467923164368,0,person,1
4,1868.8765869140625,764.4896240234375,102.246826171875,82.36419677734375,0.814743161201477,2,car,1
5,1325.024658203125,703.9578857421875,36.9141845703125,94.81219482421875,0.7490975856781006,0,person,1
6,1219.536865234375,674.3399047851562,124.35595703125,72.7835693359375,0.7211641669273376,2,car,1
7,483.4765625,671.608642578125,84.80355834960938,164.06658935546875,0.7210482954978943,0,person,1
8,1485.891357421875,663.59521484375,60.0889892578125,32.3624267578125,0.7204421758651733,2,car,1
9,1374.30615234375,675.8655395507812,86.2435302734375,45.8565673828125,0.7122637033462524,2,car,1
10,587.593017578125,661.254638671875,25.08642578125,81.49176025390625,0.7010512351989746,0,person,1
11,415.61480712890625,704.6763916015625,92.36953735351562,203.53253173828125,0.6938597559928894,0,person,1
12,1078.933837890625,741.31787109375,114.2061767578125,106.51446533203125,0.6817984580993652,1,bicycle,1
13,1003.136474609375,752.9458618164062,86.31060791015625,181.6390380859375,0.6300973296165466,0,person,1
14,1437.400390625,669.5873413085938,35.5972900390625,29.8641357421875,0.617172360420227,2,car,1
15,198.55117797851562,514.5223999023438,33.34977722167969,72.39248657226562,0.6088321208953857,9,traffic light,1
16,1360.64404296875,416.03143310546875,28.3505859375,87.91818237304688,0.5695907473564148,9,traffic light,1
17,1057.85888671875,698.671630859375,72.0401611328125,157.19757080078125,0.5561758875846863,0,person,1
18,705.87255859375,681.416748046875,66.47711181640625,141.62957763671875,0.5502572655677795,0,person,1
19,103.77729797363281,670.099365234375,24.41722869873047,48.68450927734375,0.5428378582000732,10,fire hydrant,1
20,25.281494140625,356.03900146484375,50.25126647949219,186.42160034179688,0.5338475704193115,9,traffic light,1
21,1630.6732177734375,579.269775390625,16.1044921875,40.48236083984375,0.53119295835495,9,traffic light,1
22,975.9683837890625,684.0346069335938,141.24517822265625,87.5257568359375,0.5301896333694458,2,car,1
23,1532.223388671875,662.8765869140625,46.4886474609375,28.94091796875,0.5172932744026184,2,car,1
24,1546.99169921875,659.662353515625,49.2869873046875,29.18426513671875,0.4063493609428406,2,car,1
25,1694.910888671875,676.845458984375,56.26904296875,76.63104248046875,0.3971368372440338,2,car,1
26,186.62200927734375,514.18212890625,23.950439453125,70.4840087890625,0.38911062479019165,9,traffic light,1
27,843.8637084960938,641.8812255859375,32.3927001953125,57.94354248046875,0.3803257346153259,0,person,1
28,1406.627685546875,670.01806640625,47.02001953125,38.12799072265625,0.353384405374527,2,car,1
29,865.13720703125,734.2689208984375,83.44354248046875,223.61199951171875,0.33279797434806824,0,person,1
30,1585.94677734375,664.2288818359375,19.502197265625,38.86358642578125,0.31684812903404236,12,parking meter,1
31,1505.57080078125,663.97314453125,39.668212890625,28.67218017578125,0.29053694009780884,2,car,1
32,628.801513671875,679.7606201171875,45.85455322265625,53.71307373046875,0.27919596433639526,0,person,1
33,1586.9130859375,653.6900634765625,19.470703125,18.52154541015625,0.2752770781517029,2,car,1
0,230.87252807617188,691.7938842773438,71.03083801269531,172.5042724609375,0.8617952466011047,0,person,2
1,725.3390502929688,717.0261840820312,137.9071044921875,98.1995849609375,0.8598743081092834,1,bicycle,2
2,491.9638366699219,720.5693969726562,128.76141357421875,109.1295166015625,0.8363352417945862,1,bicycle,2
3,1868.92626953125,764.2677612304688,102.1474609375,82.927734375,0.8176616430282593,2,car,2
4,286.30364990234375,694.1671142578125,76.85598754882812,173.127685546875,0.7589225769042969,0,person,2
5,1325.6260986328125,702.6361083984375,36.156982421875,98.329345703125,0.7584934234619141,0,person,2
6,1080.150390625,743.4190673828125,124.17205810546875,97.64178466796875,0.756252110004425,1,bicycle,2
7,487.6672668457031,670.2081298828125,84.55413818359375,161.683837890625,0.7407699227333069,0,person,2
8,1001.2653198242188,750.5155639648438,89.8795166015625,190.1829833984375,0.7328768968582153,0,person,2
9,1219.177001953125,674.1839599609375,123.6248779296875,73.049072265625,0.7312736511230469,2,car,2
10,1488.779052734375,663.0947875976562,63.6927490234375,30.8555908203125,0.7193800806999207,2,car,2
11,1373.12939453125,675.4475708007812,70.0135498046875,43.8612060546875,0.7142072916030884,2,car,2
12,588.2132568359375,661.2278442382812,26.40325927734375,80.6656494140625,0.6499596834182739,0,person,2
13,420.40338134765625,703.2176513671875,89.72390747070312,208.10009765625,0.6397156119346619,0,person,2
14,1437.4737548828125,669.5362548828125,35.529052734375,30.00604248046875,0.6370489001274109,2,car,2
15,1061.2979736328125,700.3494873046875,81.58203125,167.19140625,0.6353471875190735,0,person,2
16,199.46209716796875,513.8712158203125,31.81280517578125,71.98419189453125,0.611667275428772,9,traffic light,2
17,972.8006591796875,683.7373657226562,136.713134765625,87.1729736328125,0.5756326913833618,2,car,2
18,1531.8438720703125,663.0320434570312,45.567626953125,28.9410400390625,0.5564745664596558,2,car,2
19,1360.651611328125,416.4019775390625,27.971435546875,88.3359375,0.5473813414573669,9,traffic light,2
20,104.08145141601562,670.8015747070312,24.63390350341797,47.2989501953125,0.5275415778160095,10,fire hydrant,2
21,1631.143310546875,579.0088500976562,16.35205078125,39.4322509765625,0.5014030337333679,9,traffic light,2
22,25.286773681640625,351.82647705078125,50.57354736328125,179.54959106445312,0.4972868859767914,9,traffic light,2
23,714.7276000976562,683.759521484375,90.50537109375,146.4134521484375,0.45790258049964905,0,person,2
24,1548.853271484375,659.3416748046875,46.0482177734375,29.24603271484375,0.4497300386428833,2,car,2
25,864.607177734375,729.9395751953125,83.016845703125,224.6640625,0.41311004757881165,0,person,2
26,1506.657470703125,663.9718017578125,33.6671142578125,28.2900390625,0.3844829201698303,2,car,2
27,1406.67431640625,670.021728515625,45.8980712890625,38.1171875,0.38340386748313904,2,car,2
28,186.6312255859375,513.7606201171875,24.084762573242188,71.65325927734375,0.3570348918437958,9,traffic light,2
29,1692.362548828125,683.0008544921875,62.168701171875,76.71258544921875,0.35662639141082764,2,car,2
30,1585.6220703125,664.120849609375,20.0906982421875,38.14813232421875,0.31528225541114807,12,parking meter,2
31,843.2183837890625,641.9076538085938,34.41046142578125,55.2315673828125,0.30540066957473755,0,person,2
32,1586.83544921875,653.8333740234375,18.9605712890625,18.75531005859375,0.2756776809692383,2,car,2
33,627.71923828125,679.4736328125,45.43609619140625,53.1424560546875,0.26936978101730347,0,person,2
0,229.5018310546875,690.672607421875,69.97760009765625,173.19854736328125,0.850441575050354,0,person,3
1,727.5679931640625,719.76416015625,136.15521240234375,92.647216796875,0.8399537801742554,1,bicycle,3
2,498.06842041015625,721.1005859375,131.73233032226562,109.28118896484375,0.8228797912597656,1,bicycle,3
3,1869.3577880859375,764.234375,101.284423828125,82.99822998046875,0.815809428691864,2,car,3
4,285.1825256347656,694.9453125,81.9246826171875,169.98626708984375,0.8151196837425232,0,person,3
5,998.8108520507812,749.6907958984375,86.6339111328125,192.62457275390625,0.7743145823478699,0,person,3
6,1080.08447265625,742.7183227539062,134.9932861328125,100.9776611328125,0.7606282830238342,1,bicycle,3
7,493.2747802734375,672.3231811523438,90.433837890625,161.8961181640625,0.7487869262695312,0,person,3
8,1489.1845703125,663.124267578125,64.9185791015625,30.99420166015625,0.7222025990486145,2,car,3
9,1374.6214599609375,675.7528076171875,82.9267578125,45.07000732421875,0.7194927334785461,2,car,3
10,1326.5379638671875,701.9752197265625,33.001220703125,96.60467529296875,0.7079095840454102,0,person,3
11,1218.1273193359375,673.9432373046875,122.778076171875,73.37847900390625,0.7057499289512634,2,car,3
12,1062.44140625,700.497314453125,81.19476318359375,168.96875,0.6535033583641052,0,person,3
13,587.9746704101562,662.1383666992188,27.0523681640625,78.3590087890625,0.6312155723571777,0,person,3
14,1437.436279296875,669.35498046875,35.4830322265625,30.06011962890625,0.6311748623847961,2,car,3
15,199.169677734375,513.7813110351562,32.80946350097656,71.85302734375,0.6268150210380554,9,traffic light,3
16,422.6266784667969,703.475830078125,89.14337158203125,205.35162353515625,0.6267805099487305,0,person,3
17,974.9302978515625,682.9341430664062,145.343017578125,88.1864013671875,0.5610553622245789,2,car,3
18,1531.976806640625,663.011962890625,45.5531005859375,29.00897216796875,0.546116054058075,2,car,3
19,103.88722229003906,670.5963134765625,24.790618896484375,47.2645263671875,0.5410974025726318,10,fire hydrant,3
20,1360.7890625,416.611572265625,27.67822265625,88.55630493164062,0.540443480014801,9,traffic light,3
21,25.454938888549805,349.9461975097656,50.90987777709961,180.001708984375,0.5241794586181641,9,traffic light,3
